About a Silence in Literature,Živorad Stojković,,Essay,Banned in Yugoslavia by court order in 1951.[2]
Alice's Adventures in Wonderland,Lewis Carroll,1865,Children's novel/adventure,"Formerly banned in the province of Hunan, China, beginning in 1931,[3] for its portrayal of anthropomorphized animals acting on the same level of complexity as human beings. The censor General Ho Chien believed that attributing human language to animals was an insult to humans. He feared that the book would teach children to regard humans and animals on the same level, which would be ""disastrous"".[4]"
All Quiet on the Western Front,Erich Maria Remarque,1929,Anti-war novel,Banned in Nazi Germany for being demoralizing and insulting to the Wehrmacht.[3][5]
American Psycho,Bret Easton Ellis,1991,Novel,Sale and purchase was banned in the Australian State of Queensland. Now available in public libraries and for sale to people 18 years and older. Sale restricted to persons at least 18 years old in the other Australian states.[6]
An Area of Darkness,V. S. Naipaul,1964,Travelogue,Banned in India for its negative portrayal of India and its people.[7]
Angaray,Sajjad Zaheer,1932,Progressive short stories,Banned in India in 1936 by the British government.[8]
The Anarchist Cookbook,William Powell,1971,Instructional,Banned in Australia.[9]
Animal Farm,George Orwell,1945,Political novella,"Completed in 1943, Orwell found that no publisher would print the book, due to its criticism of the USSR, an important ally of Britain in the War.[10] Once published, the book was banned in the USSR and other communist countries.[11] In 2002, the novel was banned in the schools of the United Arab Emirates, because it contained text or images that goes against Islamic values, most notably the occurrence of an anthropomorphic, talking pig.[12] The book is still banned in North Korea, and censored in Vietnam."
Apocalypse Culture,Adam Parfrey,1987,non-fiction,"Is a collection of articles, interviews, and documents that explore the various marginal aspects of culture. It was banned in Russia in July 2006 by court order for propaganda of drug use, after its first and only Russian publication by ""UltraCulture"" publishing (Ультра.Культура). All the printed copies of that Russian edition were destroyed."
Areopagitica,John Milton,1644,Essay,Banned in the Kingdom of England for political reasons.[13]
Bad Samaritans: The Myth of Free Trade and the Secret History of Capitalism,Ha-Joon Chang,2008,Non-fiction,"One of 23 books which from August 1, 2008 onward is banned for distribution within the South Korean military.[14]"
The Bible,Jewish and Christian,see Dating the Bible,Religious text,"Some Christians claim that at present, the Bible is banned or greatly restricted in a number of countries[citation needed] including North Korea.[15] Recently, Russia has banned the import of theNew World Translation of the Holy Scriptures .[16] Historically, some countries banned the Bible in certain languages or versions. The Bible in Spanish was prohibited in Spain from the sixteenth until the nineteenth century.[17] In 1234, King James I of Aragon ordered theburning of Bibles in the vernacular.[18]"
"Big River, Big Sea – Untold Stories of 1949",Lung Ying-tai,2009,Non-fiction,"It sold over 100,000 copies in Taiwan and 10,000 in Hong Kong in its first month of release, but discussion of her work was banned in mainland China following the book launch.[19]"
Borstal Boy,Brendan Behan,1958,Autobiographical novel,"Banned in Ireland in 1958. The Irish Censorship of Publications Board was not obliged to reveal its reason but it is believed that it was rejected for its critique of Irish republicanism and the Catholic Church, and its depiction of adolescent sexuality. It was banned in Australia and New Zealand shortly after. It was allowed to be published in New Zealand in 1963.[20]"
The Boys,Garth Ennis,2012,Comic book series,Banned in Qatar in 2012.[21]
Brave New World,Aldous Huxley,1932,Novel,"Banned in Ireland in 1932, allegedly because of references of sexual promiscuity.[22] Banned in Australia from 1932 to 1937.[9]"
Burger's Daughter,Nadine Gordimer,1979,Novel,Banned in South Africa in July 1979 for going against the government's racial policies; the ban was reversed in October of the same year.[12]
By Grand Central Station I Sat Down and Wept,Elizabeth Smart,1945,Autobiogaphical prose poetry,Banned in Canada from 1945-75 under the influence of Smart's family's political power due to the its sexual documentation of Smart's affair with a married man.
Candide,Voltaire,1759,Novel,Seized by US Customs in 1930 for obscenity.[23]
The Canterbury Tales,Geoffrey Chaucer,late 14th century,Story collection,"Banned from the U.S. mail under the Federal Anti-Obscenity Act (Comstock Law) of 1873, which banned the sending or receiving of works containing ""obscene,"" ""filthy,"" or ""inappropriate"" material.[23]"
Castration of the Wind,Prvoslav Vujčić,,Poems,Written in Tuzla prison in 1984. Banned in Yugoslavia by court order in 1984; republished in 2005.[2]
Catch-22,Joseph Heller,1961,Novel,"Banned in several U.S. states: in 1972, it was banned inStrongsville, Ohio (overturned in 1976); in 1974, it was banned in Dallas, Texas and in Snoqualmie, Washington in 1979, because it has several references to women as ""whores"".[24]"
The Country Girls,Edna O'Brien,1960,Novel,Banned by Ireland's censorship board in 1960 for its explicit sexual content.[25][26]
The Cover-up General,Edwin Giltay,2014,Non-fiction thriller,Banned in the Netherlands by court order in 2015 as a former spy of Dutch military intelligence claimed she was described falsely in this Srebrenica book.[27] Ban lifted by the Court of Appeal of The Hague in 2016.[28][29]
Curved River,Živojin Pavlović,1963,story collection,In 1963 in Yugoslavia withdrawn by the publisher (Nolit) at request of SDB officials.[30]
The Da Vinci Code,Dan Brown,2003,Novel,Banned in September 2004 in Lebanon after Catholic leaders deemed it offensive to Christianity. (See Inaccuracies in The Da Vinci Code.)[3][31]
The Dark,John McGahern,1965,Novel,Banned in Ireland for obscenity.[32]
The Death of Lorca,Ian Gibson,1971,Biography,Banned briefly in Spain.[33]
The Decameron,Giovanni Boccaccio,1353,Story collection,"Banned from the U.S. mail under the Federal Anti-Obscenity Act (Comstock Law) of 1873, which banned the sending or receiving of works containing ""obscene,"" ""filthy,"" or ""inappropriate"" material.[23]"
The Truth About Muhammad,Robert Spencer,2006,Non-fiction,"On December 20, 2006, the government of Pakistan announced a ban on Spencer's book, citing ""objectionable material"" as the cause.[34]"
The Diary of Anne Frank,Anne Frank,1947,Non-fiction,Banned in Lebanon for its positive depiction of Jews.[3]
Dictionary of Modern Serbo-Croatian Language,Miloš Moskovljević,,Dictionary,"Banned in Yugoslavia by court order in 1966, at request of Mirko Tepavac, because ""some definitions can cause disturbance among citizens"".[30]"
Doctor Zhivago,Boris Pasternak,1955-1988,Novel,"Banned in the Soviet Union until 1988 for criticizing life in Russia after the Russian Revolution. When its author, Boris Pasternak, won the Nobel Prize for Literature in 1958 he was forced to reject it under government pressure.[3]"
Droll Stories,Honoré de Balzac,1837,Short stories,Banned for obscenity in Canada in 1914 and Ireland in 1953. The ban was lifted in Ireland in 1967.[35][36]
The Devil's Discus,Rayne Kruger,1964,Non-fiction,Banned in Thailand in 2006.[37]
El Señor Presidente,Miguel Ángel Asturias,1946,Novel,Banned in Guatemala because it went against the ruling political leaders.[38]
Ecstasy and Me,Hedy Lamarr,1966,Autobiography,Banned in Australia from 1967 until 1973.[9]
Elmer Gantry,Sinclair Lewis,1927,Novel,"Banned in Boston, Massachusetts, Kansas City, Missouri, Camden, New Jersey and other U.S. cities and this novel by Sinclair deals with fanatical religiosity and hypocrisy in the United States during the 1920s by presenting a skeevy preacher (the Reverend Dr. Elmer Gantry) as a protagonist who prefers easy money, booze, and ""enticing young girls"" over saving souls, all while converting a traveling tent revival crusade into a profitable and permanent evangelical church and radio empire for his employers. Elmer Gantry also widely denounced from pulpits across the United States at the time of its initial publication.[39][40]"
Fanny Hill or Memoirs of a Woman of Pleasure,John Cleland,1748,Novel,"Banned in the U.S.A. in 1821 for obscenity, then again in 1963. This was the last book ever banned in the U.S.A.[5] See alsoMemoirs v. Massachusetts."
Feast for the Seaweeds,Haidar Haidar,1983,Novel,"Banned in Egypt and several other Arab states, and even resulted in a belated angry reaction from the clerics of Al-Azhar University upon reprinting in Egypt in the year 2000. The clerics issued aFatwa banning the novel, and accused Haidar of heresy and offending Islam. Al-Azhar University students staged huge protests against the novel, that eventually led to its confiscation.[41][42][43]"
The Federal Mafia,Irwin Schiff,1992,Non-fiction,"An injunction was issued by a U.S. District Court in Nevada under26 U.S.C. § 7408 against Irwin Schiff and associates Cynthia Neun and Lawrence Cohen, against the sale of this book by those persons as the court found that the information it contains is fraudulent[44]"
Fifty Shades of Grey,E L James,2011,Novel,"The entire trilogy was banned in Malaysia from 2015 for containing ""sadistic"" material and ""threat to morality"".[45]"
Fifty Shades Darker,E L James,2012,Novel,"The entire trilogy was banned in Malaysia from 2015 for containing ""sadistic"" material and ""threat to morality""."
Fifty Shades Freed,E L James,2012,Novel,"The entire trilogy was banned in Malaysia from 2015 for containing ""sadistic"" material and ""threat to morality""."
Frankenstein (1818),Mary Shelley,1818,Novel,"Banned in apartheid South Africa in 1955 for containing ""obscene"" or ""indecent"" material.[23]"
The Fugitive (Perburuan) (1950),Pramoedya Ananta Toer,1950,Novel,"Banned in Indonesia in 1950, for containing ""subversive"" material, including an attempt to promote Marxist–Leninist thought and other Communist theories. As of 2006, the ban is still in effect.[12]"
The First Circle (1968),Aleksandr Solzhenitsyn,1968,Novel,"After Nikita Khrushchev was removed from power in 1964, all current and future works by Aleksandr Solzhenitsyn were banned in the Soviet Union. This work details the lives of scientists forced to work in a Stalinist research center.[46]"
The Gods Laugh on Mondays (1995),Reza Khoshnazar,1995,Novel,Was banned in Iran after men torched its publication house.[47]
The Grapes of Wrath(1939),John Steinbeck,1939,Novel,"Was temporarily banned in many places in the US. In the state of California in which it was partially set, it was banned for its alleged unflattering portrayal of area residents.[48]"
Great Soul: Mahatma Gandhi and His Struggle With India(2011),Joseph Lelyveld,2011,Biography,"Is currently banned in Gujarat, a state in western India, for suggesting that Mahatma Gandhi had a homosexual relationship. Gujarat's state assembly voted unanimously in favour of the ban in April 2011.[49]"
Green Eggs and Ham,Dr. Seuss,1960,Novel,"In 1965, the children's novel was temporarily banned in the People's Republic of China for its portrayal of early Marxism. The ban was lifted in 1991, following Seuss' death.[50]"
